Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
65444,"Erie Solar, LLC",66365,"Erie Solar, LLC",Map,Map,PA,Erie,PJM,IPP Non-CHP,ERIE,,20.0,20.0,20.0,Solar Photovoltaic,SUN,PV,2,2025,"(V) Under construction, more than 50 percent complete",42.013100,-80.307280
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",Map,Map,NY,Monroe,NYIS,Industrial CHP,49CTG,,42.0,36.0,42.0,Natural Gas Fired Combustion Turbine,NG,GT,3,2025,"(V) Under construction, more than 50 percent complete",43.198900,-77.631900
19524,University of California-LA,52073,UCLA So Campus Cogen Project,Map,Map,CA,Los Angeles,LDWP,Commercial CHP,GEN-A,CC1,16.4,13.5,14.2,Natural Gas Fired Combined Cycle,NG,CT,3,2025,"(V) Under construction, more than 50 percent complete",34.069200,-118.443900
12320,Merck & Co Inc,52148,Elkton,Map,Map,VA,Rockingham,PJM,Industrial CHP,GEN10,,2.0,2.0,2.0,Natural Gas Internal Combustion Engine,NG,IC,3,2025,"(U) Under construction, less than or equal to 50 percent complete",38.383600,-78.652800
13491,New York University,54808,New York University Central Plant,Map,Map,NY,New York,NYIS,Commercial CHP,DE1,,2.5,2.5,2.5,Petroleum Liquids,DFO,IC,3,2025,"(V) Under construction, more than 50 percent complete",40.789900,-73.923300
60798,69SV 8me LLC,61169,"Eland Solar & Storage Center, Phase 2 Hy",Map,Map,CA,Kern,LDWP,IPP Non-CHP,61169,,150.0,150.0,150.0,Batteries,MWH,BA,3,2025,"(V) Under construction, more than 50 percent complete",35.216700,-117.977000
60798,69SV 8me LLC,61169,"Eland Solar & Storage Center, Phase 2 Hy",Map,Map,CA,Kern,LDWP,IPP Non-CHP,69SV8,,200.0,200.0,200.0,Solar Photovoltaic,SUN,PV,3,2025,"(V) Under construction, more than 50 percent complete",35.216700,-117.977000
66926,Bullrock-NxtGenREA,62520,State Route 64N Community Solar Farm,Map,Map,NY,Ontario,NYIS,IPP Non-CHP,1089,,1.2,1.2,1.2,Solar Photovoltaic,SUN,PV,3,2025,"(V) Under construction, more than 50 percent complete",42.915000,-77.454000
66926,Bullrock-NxtGenREA,62523,Route 5 & 20 Community Solar Farm,Map,Map,NY,Ontario,NYIS,IPP Non-CHP,1093,,2.3,2.3,2.3,Solar Photovoltaic,SUN,PV,3,2025,"(V) Under construction, more than 50 percent complete",42.899000,-77.461000
62008,Hale Kuawehi Solar LLC,62529,Hale Kuawehi Solar Hybrid,Map,Map,HI,Hawaii,HECO,IPP Non-CHP,HKBA,,30.0,30.0,30.0,Batteries,MWH,BA,3,2025,"(V) Under construction, more than 50 percent complete",19.936688,-155.679300
